Giáo Hạt,Giáo Xứ,Địa Chỉ,Ngày Thường,Chúa Nhật
Mỹ Tho,Chánh Tòa Mỹ Tho,"32 Hùng Vương, Phường 7, Thành phố Mỹ Tho, Tỉnh Tiền Giang","5:15;17:45","05:15;07:30;16:30;18:30"
Mỹ Tho,Thánh Giuse Lao Công (Chợ Cũ),"23/14 Học Lạc, P. 8,Tp. Mỹ Tho, TG","05:00;17:30","05:30;17:30"
Mỹ Tho,An Đức,"Khu 3, Ấp Chợ, Trung An, Tp. Mỹ Tho, TG","Thứ 2,4,6: 05:00;Thứ 3,5,7: 17:00","05:00;17:00"
Mỹ Tho,Nữ Vương Hòa Bình,"23 Lý Thường Kiệt, P.6, Tp. Mỹ Tho, TG","05:00;17:30","05:00;07:00;17:15"
Mỹ Tho,Thánh Antôn,"227/4 Đinh Bộ Lĩnh, P. 2, Tp. Mỹ Tho, TG","17:30","07:00;17:30"
Mỹ Tho,Trung Lương,"KP.2, P.10, Tp. Mỹ Tho, TG","Thứ 2-6: 05:15;Thứ 7: 17:30","06:30"
Mỹ Tho,Thới Sơn,"Ấp Thới Thuận, Xã Thới Sơn, Tp. Mỹ Tho, TG","06:00","07:00"
Mỹ Tho,Bình Tạo,"90/4 Lê Hồng Gấm, Khóm Bình Tạo, Khu 2, P.6, Tp. Mỹ Tho, TG","17:30","06:30;17:00"
Mỹ Tho,Tân Long,"5/80 Tân Hòa, P. Tân Long, Tp. Mỹ Tho, TG","17:30;Thứ 7: 18:30","05:30"
Mỹ Tho,Rạch Cầu,"Ấp Tân Định, Tân Thới, H. Tân Phú Đông, TG","05:00;17:00","05:00;16:00"
Mỹ Tho,Cồn Bà,"Ấp Tân Thành 2, Tân Thạnh, H. Tân Phú Đông, TG","17:30","05:00;07:00;17:00"
Mỹ Tho,Thủ Ngữ,"Xã Xuân Đông, Huyện Chợ Gạo, Tỉnh Tiền Giang","05:00;17:00","05:00;07:00;17:00"
Mỹ Tho,Thánh Tâm,"49 Nguyễn Trãi, P. 2, Tx. Gò Công, TG","17:45","05:45;17:30"
Mỹ Tho,Thánh Giuse,"Khu phố 3, P. 2, Tx.Gò Công, TG","05:00","05:00"
Mỹ Tho,Tân Phước,"Ấp 7, Tân Phước, H. Gò Công Đông, TG","05:00;Thứ 7: 15:30","05:00;15:30"
