title,content
"TGM Mỹ Tho: Thông báo Phong chức Phó tế 2025","TÒA GIÁM MỤC MỸ THO
32 Hùng Vương, P.7,
TP. Mỹ Tho, Tiền Giang
Mỹ Tho, ngày 02 tháng 05 năm 2025
THÔNG BÁO PHONG CHỨC PHÓ TẾ
Kính gửi: Quý cha, quý tu sĩ nam nữ
và anh chị em giáo dân.
Ngày 05.06.2025 tới đây, Đức Giám mục Giáo phận dự định sẽ phong chức phó tế cho 7 thầy đại chủng sinh có tên sau đây:
1. Thầy Ignatiô Võ Quốc Công, sinh năm 1989, thuộc Giáo xứ Rạch Thiên, Long An;
2. Thầy Phêrô Nguyễn Văn Cường, sinh năm 1989, thuộc Giáo xứ Fatima, Đồng Tháp;
3. Thầy Giuse Võ Khắc Nhất, sinh năm 1990, thuộc Giáo xứ Kiến Bình, Long An;
4. Thầy Phêrô Trần Thế Anh Tài, sinh năm 1989, thuộc Giáo xứ Cao Lãnh, Đồng Tháp;
5. Thầy Đôminicô Nguyễn Anh Thư, sinh năm 1991, thuộc Giáo xứ Chợ Bưng, Tiền Giang;
6. Thầy Giuse Huỳnh Khánh Thừa, sinh năm 1989, thuộc Giáo xứ Nha Ràm, Long An;
7. Thầy Đôminicô Saviô Đỗ Hoàng Vũ, sinh năm 1993, thuộc Giáo xứ Long Định 1, Tiền Giang;
Xin quý cha đọc thông báo này cho quý tu sĩ và anh chị em giáo dân vào ba ngày Chúa nhật, 11/5, 18/5 và 25/5/2025, để Dân Chúa hiệp lời cầu nguyện cho quý thầy dọn lòng sốt sắng lãnh nhận chức phó tế.
Nếu có điều gì ngăn trở theo Giáo Luật, xin quý cha và anh chị em báo cho Tòa giám mục biết. Anh chị em giáo dân có thể báo qua cha sở hoặc trực tiếp với chúng tôi tại Tòa giám mục.
Kính chúc quý cha, quý tu sĩ nam nữ và toàn thể anh chị em giáo dân tràn đầy Hồng Ân Thiên Chúa.
Lm. Phaolô Trần Kỳ Minh
Tổng Đại diện
(Đã ấn ký)"

"Thông báo: Tuần Thường huấn Linh mục Giáo phận Mỹ Tho 2025","TÒA GIÁM MỤC MỸ THO

32 Hùng Vương, Phường 7, TP. Mỹ Tho, Tiền Giang

---o0o----

 

Mỹ Tho, ngày 13/05/2025

 

THÔNG BÁO

VỀ TUẦN THƯỜNG HUẤN LINH MỤC NĂM 2025

 

 

Kính gởi: Quý cha Hạt Trưởng,
và tất cả quý cha Giáo phận Mỹ Tho.

 

Xin thông báo đến quý cha Tuần Thường huấn Linh mục năm 2025 như sau:

- Thời gian: Từ thứ Hai 09.06 đến thứ Sáu 13.06.2025.

- Địa điểm: Trung tâm Mục vụ, 23 Lý Thường Kiệt, P. 6, TP. Mỹ Tho, Tiền Giang.

- Quý cha có mặt lúc 16g00 chiều thứ Hai ngày 09.06.2025.

- Xin quý cha mang theo laptop trong Tuần Thường huấn này.

 

 

      Lm. Tổng Đại diện

     Phaolô Trần Kỳ Minh

          (Đã ấn ký)


"


"Đức Thánh Cha Lêô XIV duy trì tài khoản Giáo hoàng trên X và Instagram","Các trang mạng xã hội chính thức của Giáo hoàng đã được tái kích hoạt. Trên X, tài khoản là @Pontifex trong khi trên Instagram là @Pontifex – Pope Leo XIV.
Vatican News

Tài khoản X

Đức Thánh Cha Lêô XIV cũng tích cực tham gia các mạng xã hội và có ý định tiếp tục con đường mà những vị tiền nhiệm đã thực hiện. Vào ngày 12/12/2012, Đức Giáo Hoàng Biển Đức XVI đã ra mắt tài khoản @Pontifex trên Twitter, và vài tháng sau đó, tài khoản này đã được Đức Giáo Hoàng Phanxicô kế thừa. Sau đó, tài khoản Instagram chính thức mang tên @Franciscus đã được thêm vào ngày 19/3/2016. 

Các bài đăng được công bố bằng 9 ngôn ngữ, có 52 triệu người theo dõi và được viết bằng tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Ý, Pháp, Đức, Ba Lan, Ả Rập và La Tinh. Nội dung được Đức Giáo Hoàng Phanxicô công bố trong nhiều năm qua sẽ sớm được lưu trữ trong một mục đặc biệt trên trang web của Tòa Thánh vatican.va.

Tài khoản Instagram

Đối với Instagram, tài khoản này có tên là @Pontifex – Pope Leo XIV, là trang cá nhân chính thức duy nhất của Đức Giáo hoàng Lêô XIV, tiếp nối tài khoản @Franciscus của Đức Giáo Hoàng Phanxicô, nội dung tài khoản này vẫn có thể truy cập được như một kho lưu trữ “Ad Memoriam”.

Đức Giáo Hoàng Phanxicô, hơn 50 ngàn bài đăng

Đức Giáo Hoàng Phanxicô có sự hiện diện ý nghĩa trên mạng xã hội: khoảng 50.000 bài đăng, trên 9 tài khoản @Pontifex (theo 9 ngôn ngữ) và trên @Franciscus. Hầu như ngày nào cũng có thể tìm thấy những thông điệp truyền giáo ngắn hoặc lời kêu gọi ủng hộ hòa bình, công lý xã hội, chăm sóc thụ tạo, đạt được sự tương tác lớn, đặc biệt là trong những giai đoạn quan trọng nhất. Ví dụ, vào năm 2020, trong thời đại dịch, các sứ điệp của ngài đã được xem 27 tỷ lần.


Nguồn: Vatican News"

"Đức Tân Giáo hoàng Lêô: Sự phong phú về học thuật và mục vụ","Đức Tân Giáo hoàng Lêô

Sự phong phú về học thuật và mục vụ


Cách đây không lâu, trong khi truyền thông liên tục đưa tin sự kỳ vọng về một vị tân giáo hoàng người châu Á, châu Phi hoặc vị Hồng y có kinh nghiệm làm việc lâu năm tại Giáo triều Rôma, thì đêm 08 tháng 5 vừa qua, cả thế giới đầy bất ngờ khi được Giáo triều công bố kết quả bầu chọn từ Mật nghị Hồng y về Đức Giáo hoàng Lêô XIV, người ít được giới tuyền thông đề cập đến.
Trong lần bầu chọn này, Chúa Thánh Thần đã mang đến cho nhân loại một kết quả đầy bất ngờ. Việc Chúa thực hiện lắm khi vượt xa tầm suy đoán từ lý trí con  người.
Thế nhưng, khi đọc lại tiểu sử của Đức Giáo hoàng Lêô, nhiều người không khỏi bất ngờ trước sự phong phú về khả năng học thuật và kinh nghiệm mục vụ của Đức Thánh Cha.
Đức Thánh Cha chào đời tại thành phố Chicago, nước Mỹ, trong một gia đình đa văn hoá. Mẹ ngài là người Tây Ban Nha. Cha ngài có gốc Pháp và Ý.  Từ thời thơ ấu, ngài đã mở lòng ra với những ngôn ngữ và nền văn hoá khác. Sự hiểu biết và phạm vi mục vụ của ngài không bị đóng khung trong nước Mỹ, mà từ năm 1985, ngài đã được sai đi thi hành sứ vụ tại Pêru (thuộc châu Mỹ La tinh) và làm việc tại đây tổng cộng khoảng 22 năm, trước khi được bổ nhiệm vào vai trò Tổng trưởng Bộ Giám mục năm 2023.
Ngoài tiếng Anh là tiếng mẹ đẻ, Đức Thánh Cha còn thông thạo tiếng Tây Ban Nha, tiếng Pháp, tiếng Bồ Đào Nha và tiếng Ý. Sự thành thạo về những ngôn ngữ này là lợi thế to lớn khi Đức Thánh Cha làm việc tại Giáo triều Rôma, giao tiếp với các giám mục và đông đảo Dân Chúa trên toàn cầu.
Không chỉ được đào tạo về triết học và thần học, trước khi chịu chức linh mục, Đức Thánh Cha còn hoàn thành chương trình cử nhân toán học. Ngài đã hoàn tất chương trình thạc sĩ thần học, thạc sĩ và tiến sĩ Giáo luật. Ngài từng là giáo sư môn Giáo luật, Giáo phụ và Thần học Luân lý tại đại chủng viện ở Pêru. Trong vai trò phó chủ tịch Hội đồng Giám mục Pêru, chủ tịch Uỷ ban Văn hoá và Giáo dục, chắc chắn Đức Thánh Cha đã tiếp xúc và làm việc trong môi trường học thuật với trình độ chuyên môn cao.
Ngoài khả năng học thuật, ngài còn là nhà đào tạo gương mẫu trong vai trò Giám đốc tu viện thánh Augustinô, Hoa Kỳ. Hiểu biết và kinh nghiệm của nhà đào tạo, trải nghiệm đời sống cộng đoàn của một tu sĩ dòng Augustinô sẽ giúp ích rất nhiều cho Đức Thánh Cha khi củng cố và phát triển đời sống thánh hiến trong Giáo hội.
Ngoài ra, trong vai trò cha sở giáo xứ và giám quản giáo phận, Đức Thánh Cha đã tiếp xúc trực tiếp và thể hiện lòng thương xót đối với người nghèo, những người bị gạt ra bên lề xã hội. Lối suy tư của ngài đã thấm nhuần đời sống thực tế của Dân Chúa, nhất là đời sống của người nghèo.
Trong vai trò chủ tịch Uỷ ban Văn hoá và Giáo dục và phó chủ tịch Hội đồng Giám mục Pêru, hai nhiệm kỳ làm Bề trên Tổng quyền dòng Augustinô và Tổng trưởng Bộ Giám mục tại Giáo triều Rôma, chắc chắn Đức Thánh Cha đã hiểu biết và có kinh nghiệm giải quyết những vấn nạn của Giáo hội địa phương và Giáo hội toàn cầu. Ngài đã sớm tiếp xúc với những vấn đề mang tầm quốc tế trước khi trở thành Giáo hoàng.
Với bề dày kinh nghiệm về học thuật và mục vụ, những quyết định của Đức Thánh Cha sẽ có nền tảng thần học và Giáo luật, nhưng cũng không quá xa rời đời sống thực tế của người Công giáo và những vấn nạn của thời đại
Thiết nghĩ thời điểm hiện tại vẫn còn quá sớm khi bàn về tư tưởng và đường hướng mục vụ của Đức Thánh Cha cho Giáo hội toàn cầu. Trong đức tin, chúng ta tin rằng Chúa Thánh Thần, Đấng đã mang đến sự bất ngờ cho Giáo hội và thế giới trong lần bầu chọn giáo hoàng, sẽ còn mang đến làn gió mới đầy bất ngờ dưới thời Đức Giáo hoàng Lêô.
Như lời ngỏ của Đức Tân Giáo hoàng trong khoảnh khắc ra mắt Dân Chúa lần đầu tiên, Giáo hội Công giáo tiến về tương lai cùng với Đức Thánh Cha, nhưng không cậy dựa vào khả năng của lý trí và ý chí, mà đặt nền tảng trên sự gặp gỡ và hiệp nhất với Đức Kitô, trong niềm hy vọng vào ơn soi dẫn của Chúa Thánh Thần.

Phan Định"
"Sổ Tang Đức Thánh Cha Phanxicô - Tâm Tình Thiếu Nhi Giáo Xứ Chánh Tòa Mỹ Tho","Trong những ngày tháng Tư năm 2025, văn phòng Đại Diện Toà Thánh tại Việt Nam đã mở Sổ Tang tưởng nhớ Đức Thánh Cha Phanxicô, vị Mục tử nhân lành qua đời ngày 21 tháng 4 năm 2025. Với lòng tiếc thương sâu sắc, các em thiếu nhi và huynh trưởng Phong trào Thiếu Nhi Thánh Thể Việt Nam đã ghi lại những lời cầu nguyện, tâm tình và lòng tri ân dành cho ngài.
Sổ Tang, được ban Truyền Thông tổng hợp từ các văn bản đến từ các em thiếu nhi,là nơi các em thiếu nhi bày tỏ tình yêu và sự ngưỡng mộ trước cuộc đời giản dị, khiêm nhường và đầy lòng thương xót của Đức Thánh Cha. Những dòng chữ mộc mạc nhưng chân thành khắc họa di sản ngài để lại: lòng thương xót, tinh thần phục vụ và tình yêu dành cho người nghèo.
Một em thiếu nhi đã viết: “Con buồn lắm khi Cha về với Chúa. Dù chưa gặp Cha, nhưng qua lời dạy và nụ cười hiền, con cảm được tình yêu Cha dành cho chúng con. Con hứa sẽ sống tốt, yêu thương mọi người, như Cha mong muốn.” Những lời này phản ánh ảnh hưởng sâu sắc của Đức Thánh Cha, khơi dậy niềm tin và hy vọng trong lòng các em.
Sổ Tang không chỉ là nơi tưởng nhớ mà còn khẳng định niềm tin vào sự hiệp thông trong Chúa, như lời Ngài: “Ở đâu có hai ba người họp lại nhân danh Thầy, thì có Thầy ở giữa họ” (Mt 18,20). Cộng đoàn tin Đức Thánh Cha đã hoàn tất sứ mạng trong yêu thương, nay đang hưởng ánh sáng vĩnh cửu nơi Thiên Quốc.
Thư phân ưu từ giáo xứ được Văn phòng Đại diện Tòa Thánh tại Việt Nam tiếp nhận ngày 8 tháng 5 năm 2025 và chuyển đến Tòa Thánh Vatican, thể hiện sự hiệp thông của Giáo hội Việt Nam với Giáo hội hoàn vũ. Sổ Tang khép lại với lời tạm biệt đầy yêu thương, khẳng định Đức Thánh Cha Phanxicô mãi là ngọn lửa đức tin trong lòng các em thiếu nhi.

*Bản Sổ Tang của các em thiếu nhi được Ban Truyền Thông đăng tải trong phần thư viện, quý đọc giả có thể xem trực tiếp."

