title,content
"Dấu Thánh Giá","Nhân danh Cha và Con và Thánh Thần. Amen."

"Kinh Đức Chúa Thánh Thần","Chúng con lạy ơn Đức Chúa Thánh Thần thiêng liêng sáng láng vô cùng. Chúng con xin Đức Chúa Thánh Thần xuống đầy lòng chúng con, là kẻ tin cậy Đức Chúa Trời, và đốt lửa kính mến Đức Chúa Trời trong lòng chúng con, chúng con xin Đức Chúa Trời cho Đức Chúa Thánh Thần xuống.
    Đáp: Sửa lại mọi sự trong ngoài chúng con.
Chúng con cầu cùng Đức Chúa Trời xưa đã cho Đức Chúa Thánh Thần xuống soi lòng dạy dỗ các Thánh Tông đồ, thì rày chúng con cũng xin Đức Chúa Trời cho Đức Chúa Thánh Thần lại xuống, an ủi dạy dỗ chúng con làm những việc lành, vì công nghiệp vô cùng Đức Chúa Giêsu Kitô là Chúa chúng con. Amen."

"Kinh Lạy Cha","Lạy Cha chúng con ở trên trời, chúng con nguyện danh Cha cả sáng, nước Cha trị đến, ý Cha thể hiện dưới đất cũng như trên trời.
Xin Cha cho chúng con hôm nay lương thực hàng ngày và tha nợ chúng con như chúng con cũng tha kẻ có nợ chúng con. Xin chớ để chúng con sa chước cám dỗ, nhưng cứu chúng con cho khỏi sự dữ. Amen."

"Kinh Kính Mừng","Kính mừng Maria đầy ơn phước, Đức Chúa Trời ở cùng Bà, Bà có phước lạ hơn mọi người nữ và Giêsu con lòng Bà gồm phước lạ.
Thánh Maria Đức Mẹ Chúa Trời, cầu cho chúng con là kẻ có tội khi này và trong giờ lâm tử. Amen."

"Kinh Sáng Danh","Sáng danh Đức Chúa Cha và Đức Chúa Con và Đức Chúa Thánh Thần. Như đã có trước vô cùng và bây giờ và hằng có và đời đời chẳng cùng. Amen."

"Kinh Tin","Lạy Chúa, con tin thật có một Đức Chúa Trời là Đấng thưởng phạt vô cùng. Con lại tin thật Đức Chúa Trời có Ba Ngôi, mà Ngôi thứ Hai đã xuống thế làm người,chịu nạn chịu chết mà chuộc tội cho thiên hạ. Bấy nhiêu điều ấy cùng các điều Hội Thánh dạy, thì con tin vững vàng vì Chúa là Đấng thông minh và chân thật vô cùng đã phán truyền cho Hội Thánh. Amen."

"Kinh Cậy","Lạy Chúa, con trông cậy vững vàng, vì công nghiệp Đức Chúa Giêsu, thì Chúa sẽ ban ơn cho con giữ đạo nên ở đời này, cho ngày sau được lên Thiên đàng, xem thấy mặt Đức Chúa Trời hưởng phúc đời đời, vì Chúa là Đấng phép tắc và lòng lành vô cùng đã phán hứa sự ấy, chẳng có lẽ nào sai được. Amen."

"Kinh Mến","Lạy Chúa, con kính mến Chúa hết lòng hết sức, trên hết mọi sự, vì Chúa là Đấng trọn tốt trọn lành vô cùng. Lại vì Chúa thì con thương yêu người ta như mình con vậy. Amen."

"Kinh Ăn Năn Tội","Lạy Chúa, Chúa là Đấng trọn tốt trọn lành vô cùng. Chúa đã dựng nên con và cho Con Chúa ra đời chịu nạn chịu chết vì con, mà con đã cả lòng phản nghịch lỗi nghĩa cùng Chúa, thì con lo buồn, đau đớn cùng chê ghét mọi tội con trên hết mọi sự. Con dốc lòng chừa cải và nhờ ơn Chúa thì con sẽ lánh xa dịp tội cùng làm việc đền tội cho xứng. Amen."

"Kinh Tin Kính","Tôi tin kính Đức Chúa Trời là Cha phép tắc vô cùng dựng nên trời đất. Tôi tin kính Đức Chúa Giêsu Kitô là Con một Đức Chúa Cha cùng là Chúa chúng tôi.
Bởi phép Đức Chúa Thánh Thần mà Người xuống thai sinh bởi Bà Maria Đồng trinh, chịu nạn đời quan Phongxiô Philatô, chịu đóng đinh trên cây Thánh giá, chết và táng xác, xuống ngục tổ tông. Ngày thứ ba bởi trong kẻ chết mà sống lại, lên trời, ngự bên hữu Đức Chúa Cha phép tắc vô cùng, ngày sau bởi trời lại xuống phán xét kẻ sống và kẻ chết.
Tôi tin kính Đức Chúa Thánh Thần. Tôi tin có Hội Thánh hằng có ở khắp thế này, các Thánh thông công. Tôi tin phép tha tội. Tôi tin xác loài người ngày sau sống lại. Tôi tin hằng sống vậy. Amen."

"Kinh Cáo Mình","Tôi thú nhận cùng Thiên Chúa toàn năng và cùng anh chị em. Tôi đã phạm tội nhiều trong tư tưởng, lời nói, việc làm và những điều thiếu sót: lỗi tại tôi, lỗi tại tôi, lỗi tại tôi mọi đàng.
Vì vậy tôi xin Đức Bà Maria trọn đời đồng trinh, các thiên thần, các thánh và anh chị em khẩn cầu cho tôi trước tòa Thiên Chúa, Chúa chúng ta. Amen."

"Kinh Mười Điều Răn","
-Thứ nhất: Thờ phượng một Đức Chúa Trời và kính mến Người trên hết mọi sự.
-Thứ hai: Chớ kêu tên Đức Chúa Trời vô cớ.
-Thứ ba: Giữ ngày Chúa nhật.
-Thứ bốn: Thảo kính cha mẹ.
-Thứ năm: Chớ giết người.
-Thứ sáu: Chớ làm sự dâm dục.
-Thứ bảy: Chớ lấy của người.
-Thứ tám: Chớ làm chứng dối.
-Thứ chín: Chớ muốn vợ chồng người.
-Thứ mười: Chớ tham của người.
Mười Điều răn ấy tóm về hai điều này mà chớ: trước kính mến một Đức Chúa Trời trên hết mọi sự, sau là yêu người như mình ta vậy. Amen."

"Kinh Năm Điều Răn","
-Thứ nhất: Xem lễ ngày Chúa Nhật cùng các ngày lễ buộc, kiêng việc xác và những hoạt động có thể cản trở việc THánh hoá những ngày đó
-Thứ hai: Xưng tội trong một năm ít là một lần.
-Thứ ba: Chịu Mình Thánh Đức Chúa Giêsu trong mùa Phục sinh.
-Thứ bốn: Kiêng thịt và giữ chay những ngày Hội Thánh dạy.
-Thứ năm: Đóng góp cho các nhu cầu vật chất của Hội Thánh theo khả năng của mỗi người."

"Kinh Cải Tội Bảy Mối","
-Thứ nhất: Khiêm nhường chớ kiêu ngạo.
-Thứ hai: Rộng rãi chớ hà tiện.
-Thứ ba: Giữ mình sạch sẽ chớ mê dâm dục.
-Thứ bốn: Hay nhịn, chớ hờn giận.
-Thứ năm: Kiêng bớt chớ mê ăn uống.
-Thứ sáu: Yêu người chớ ghen ghét.
-Thứ bảy: Siêng năng việc Đức Chúa Trời chớ làm biếng."

"Kinh Tám Mối Phúc Thật","
-Thứ nhất: Ai có lòng khó khăn, ấy là phúc thật, vì chưng Nước Đức Chúa Trời là của mình vậy.
-Thứ hai: Ai hiền lành, ấy là phúc thật, vì chưng sẽ được đất Đức Chúa Trời làm của mình vậy.
-Thứ ba: Ai khóc lóc, ấy là phúc thật, vì chưng sẽ được an ủi vậy.
-Thứ bốn: Ai khao khát nhân đức trọn lành, ấy là phúc thật, vì chưng sẽ được no đủ vậy.
-Thứ năm: Ai thương xót người, ấy là phúc thật, vì chưng mình sẽ được thương xót vậy.
-Thứ sáu: Ai giữ lòng sạch sẽ, ấy là phúc thật, vì chưng sẽ được thấy mặt Đức Chúa Trời vậy.
-Thứ bảy: Ai làm cho người hòa thuận, ấy là phúc thật, vì chưng sẽ được gọi là con Đức Chúa Trời vậy.
-Thứ tám: Ai chịu khốn nạn vì đạo ngay, ấy là phúc thật, vì chưng Nước Đức Chúa Trời là của mình vậy."

"Kinh Cám Ơn","Con cám ơn Đức Chúa Trời là Chúa lòng lành vô cùng, chẳng bỏ con,chẳng để con không đời đời,mà lại sinh ra con,cho con được làm người,
cùng hằng gìn giữ con,hằng che chở con;lại cho Ngôi Hai xuống thế làm người,chuộc tội chịu chết trên cây Thánh giá vì con,
lại cho con được đạo thánh Đức Chúa Trời,cùng chịu nhiều ơn nhiều phép Hội Thánh nữa,
và đã cho phần xác con ngày hôm nay (đêm nay) được mọi sự lành;lại cứu lấy con kẻo phải chết tươi ăn năn tội chẳng kịp.

Vậy các thánh ở trên nước Thiên đàng cám ơn Đức Chúa Trời thế nào,thì con cũng hiệp cùng các thánh mà dâng cho Chúa,
cùng cám ơn như vậy. Amen."
"Kinh Trông Cậy","Chúng con trông cậy rất thánh Đức Mẹ Chúa Trời, xin chớ chê, chớ bỏ lời chúng con nguyện, trong cơn gian nan thiếu thốn. Đức Nữ Đồng trinh hiển vinh sáng láng, hằng chữa chúng con cho khỏi sự dữ. Amen.
- Lạy rất thánh Trái Tim Đức Chúa Giêsu.
+ Thương xót chúng con.
- Lạy Trái Tim cực thanh cực tịnh rất thánh Đức Bà Maria.
+ Cầu cho chúng con.
- Lạy Ông Thánh Giuse là bạn thanh sạch Đức Bà Maria trọn đời đồng trinh.
+ Cầu cho chúng con."

"Năm Sự Vui","
-Thứ nhất thì ngắm: Thiên Thần truyền tin cho Đức Bà chịu thai. Ta hãy xin cho được ở khiêm nhường. 
-Thứ hai thì ngắm: Đức Bà đi viếng bà Thánh Isave. Ta hãy xin cho được lòng yêu người.
-Thứ ba thì ngắm: Đức Bà sinh Đức Chúa Giêsu nơi hang đá. Ta hãy xin cho được lòng khó khăn.
-Thứ bốn thì ngắm: Đức Bà dâng Đức Chúa Giêsu trong Đền thánh. Ta hãy xin cho được vâng lời chịu lụy.
-Thứ năm thì ngắm: Đức Bà tìm được Đức Chúa Giêsu trong Đền thánh. Ta hãy xin cho được giữ nghĩa cùng Chúa luôn."
"Năm Sự Mừng","
-Thứ nhất thì ngắm: Đức Chúa Giêsu sống lại. Ta hãy xin cho được sống lại thật về phần linh hồn.
-Thứ hai thì ngắm: Đức Chúa Giêsu lên trời. Ta hãy xin cho được ái mộ những sự trên trời.
-Thứ ba thì ngắm: Đức Chúa Thánh Thần hiện xuống. Ta hãy xin cho được đầy dẫy mọi ơn Đức Chúa Thánh Thần.
-Thứ bốn thì ngắm: Đức Chúa Trời cho Đức Mẹ lên trời. Ta hãy xin ơn chết lành trong tay Đức Mẹ.
-Thứ năm thì ngắm: Đức Chúa Trời thưởng Đức Mẹ trên trời. Ta hãy xin Đức Mẹ phù hộ cho ta được thưởng cùng Đức Mẹ trên Nước Thiên đàng."
"Năm Sự Thương","
-Thứ nhất thì ngắm: Đức Chúa Giêsu lo buồn đổ mồ hôi máu. Ta hãy xin cho được ăn năn tội nên.
-Thứ hai thì ngắm: Đức Chúa Giêsu chịu đánh đòn. Ta hãy xin cho được hãm mình chịu khó bằng lòng.
-Thứ ba thì ngắm: Đức Chúa Giêsu chịu đội mão gai. Ta hãy xin cho được chịu mọi sự sỉ nhục bằng lòng.
-Thứ bốn thì ngắm: Đức Chúa Giêsu vác cây thánh giá. Ta hãy xin cho được vác thánh giá theo chân Chúa.
-Thứ năm thì ngắm: Đức Chúa Giêsu chịu chết trên cây thánh giá. Ta hãy xin đóng đinh tính xác thịt vào thánh giá Chúa."
"Năm Sự Sáng","
-Thứ nhất thì ngắm: Đức Chúa Giêsu chịu Phép Rửa tại sông Giođan. Ta hãy xin cho được sống xứng đáng làm con Chúa.
-Thứ hai thì ngắm: Đức Chúa Giêsu làm phép lạ tại tiệc cưới Cana. Ta hãy xin cho được noi gương Đức Mẹ mà vững tin vào Chúa.
-Thứ ba thì ngắm: Đức Chúa Giêsu rao giảng Nước Trời và kêu gọi sám hối. Ta hãy xin cho được vững tin vào lòng Chúa thương xót và siêng năng lãnh nhận Bí Tích Giao Hòa.
-Thứ bốn thì ngắm: Đức Chúa Giêsu biến hình trên núi. Ta hãy xin cho được biến đổi nhờ Chúa Thánh Thần.
-Thứ năm thì ngắm: Đức Chúa Giêsu lập Bí Tích Thánh Thể. Ta hãy xin cho được sốt sắng tham dự Thánh lễ và rước Mình và Máu Thánh Người."
